Netwerk,Ziekenhuis ,Campus,Latitude,Longitude
ZNK,AZ Turnhout,Elisabeth,51.313678483910195,4.941369315629484
ZNK,AZ Turnhout,Sint-Jozef,51.33644126897479,4.921010609475723
ZNK,Ziekenhuis Geel,,51.15979280254296,5.001052663394309
ZNK,HH ziekenhuis Mol,,51.18767900128796,5.114429476385231
ZNK,AZ Herentals,,51.18510460764557,4.836003106565026
Plexus,UZ Leuven,Pellenberg,50.862263147613575,4.800104810903348
Plexus,UZ Leuven,Gasthuisberg,50.87869997260541,4.674281860159309
Plexus,AZ Diest,Statiestraat,50.98682233685592,5.052022717939521
Plexus,AZ Diest,Hasseltsestraat,50.981107107316966,5.052777080602111
Plexus,HH Leuven,,50.87254017808545,4.699815851375612
Plexus,RZ Tienen,Mariendal,50.811422206618495,4.933167591613883
Plexus,RZ Tienen,Sint-Jan,50.815074697205176,4.941237795939027
Andreaz (Zuid-West Limburg),Jessa ziekenhuis,Virga,50.92792607912267,5.3414994198343715
Andreaz (Zuid-West Limburg),Jessa ziekenhuis,Sint-Ursula,50.940604863239365,5.161682718514171
Andreaz (Zuid-West Limburg),Jessa ziekenhuis,Salvator,50.91290454080035,5.343727430754388
Andreaz (Zuid-West Limburg),Sint-Franciscus ziekenhuis,,51.046850815248824,5.316111463384799
Andreaz (Zuid-West Limburg),AZ Vesalius,,50.794062536635955,5.48403919667116
Andreaz (Zuid-West Limburg),Sint-Trudo,,50.82370108710603,5.1862470062111
NOL,Noorderhart,Mariaziekenhuis,51.21310335051215,5.416873563449748
NOL,Noorderhart revalidatieziekenhuis,,51.193621811197985,5.3884537986719225
NOL,ZOL ,Sint-Jan,50.95726915382397,5.517914736090677
NOL,ZOL ,Sint-Barbara,50.9100914634388,5.628006433832863
NOL,ZOL ,Maas & Kempen,51.10241584027051,5.767693745896625
Briant,AZ Jan Portaels,,50.92776242096349,4.417229660474305
Briant,Imelda ziekenhuis,,51.01750734577716,4.560222663705891
Briant,AZ Sint-Maarten,,51.05158869156566,4.475768977332981
Briant,Heilig Hart ziekenhuis Lier,,51.13255511258395,4.564443791637637
Helix,UZA ,,51.15788363715504,4.410856105920271
Helix,AZ Klina,Klina,51.29793318613676,4.48835307543465
Helix,AZ Klina,Coda,51.35951704564088,4.555090451425137
Helix,AZ Klina,De Mick,51.308728507314285,4.545555111097072
Helix,AZ Monica ,Campus Deurne,51.20646076345463,4.470255448447194
Helix,AZ Monica,Campus Antwerpen,51.201896031046424,4.41021153514526
Helix,AZ Voorkempen,,51.275254752909255,4.6444812942624845
Helix,AZ Rivierenland,Campus Rumst,51.106611450646454,4.371290547801299
Helix,AZ Rivierenland,Campus Bornem,51.10015019680897,4.23206489917943
Helix,AZ Rivierenland,Campus Willebroek,51.054592114113944,4.358070207196229
Curoz,ASZ Ziekenhuis,Campus Aalst ,50.935467084408735,4.019227868338315
Curoz,ASZ Ziekenhuis,Campus Geraardsbergen ,50.770899092124694,3.877309034230498
Curoz,ASZ Ziekenhuis,Campus Wetteren ,51.01054501375082,3.8981616234254064
Curoz,OLV Ziekenhuis,Aalst,50.9431220633321,4.055397890455083
Curoz,OLV Ziekenhuis,Asse,50.912013761750735,4.195322612264051
Curoz,OLV Ziekenhuis,Ninove,50.83938380360982,4.020838719705693
Curoz,AZ Sint-Maria,Halle,50.73683437096976,4.2258933634324425
Curoz,UZ Brussel,Jette,50.88794472212662,4.308652521541499
Mira,Vitaz,Sint-Niklaas Moerland,51.16208925294229,4.14951043522526
Mira,Vitaz,Lokeren,51.10371894452298,4.000411478477497
Mira,Vitaz,Beveren,51.210315263247445,4.250474547931865
Mira,Vitaz,Temse,51.128655653675594,4.213402666332073
Mira,AZ Sint-Blasius,Dendermonde,51.02614312476986,4.11395490536579
Mira,AZ Sint-Blasius,Zele,51.06616458880713,4.027219535539009
ZAS,ZNA,ZNA Jan Palfijn,51.25847748621329,4.4519580069892015
ZAS,ZNA,ZNA Middelheim,51.18189631701991,4.421198589849831
ZAS,ZNA,PZ Stuivenberg,51.22256430779449,4.434897973060688
ZAS,ZNA,ZNA Stuivenberg,51.22247923560406,4.435067822896
ZAS,ZNA,ZNA Hoge Beuken,51.18427578606973,4.352606020943967
ZAS,ZNA,ZNA Joostens,51.25981879674467,4.626467662852407
ZAS,ZNA,ZNA Sint-Elisabeth,51.21381937328679,4.406987192681504
ZAS,ZNA,ZNA Sint-Erasmus,51.207805613869716,4.446440890795383
ZAS,GZA,Campus Sint-Augustinus,51.174586268420846,4.417870020311219
ZAS,GZA,Campus Sint-Vincentius,51.208024698737994,4.411347179565309
ZAS,GZA,Campus Sint-Jozef,51.16509462852991,4.460689062842498
ZNG,AZ Jan Palfijn,,51.04950589148793,3.701092260973259
ZNG,AZ Oudenaarde VZW,,50.84344877098013,3.6027809131419755
ZNG,AZ Sint-Lucas Gent,,51.061981793921056,3.7223036321861773
ZNG,UZ Gent,,51.02434395549652,3.726253509158337
E17,AZ Maria Middelares,,51.02434570134174,3.7029853210957895
E17,AZ Sint-Vincentius Deinze,,50.98623537227322,3.52831170944937
E17,AZ Sint-Elisabeth Zottegem,,50.864430039826445,3.8175056493709145
E17,OLV van Lourdes Ziekenhuis,,50.90013683905281,3.4190010591690156
E17,AZ Glorieux,,50.75550409053335,3.6038383689622853
E17,AZ Groeninge,Campus Kennedylaan,50.801657661974986,3.264410421132234
E17,AZ Groeninge,Campus Reepkaai,50.83018386403892,3.2621841689643007
E17,Sint-Jozefskliniek,,50.918473590636665,3.2108098186886878
Triaz,AZ Delta,Campus Brugsesteenweg Roeselare,50.954124659832104,3.123758359448488
Triaz,AZ Delta,Campus Menen,50.792896741161954,3.1229430131406
Triaz,AZ Delta,Campus Rembert Torhout,51.070055221291994,3.095402496514025
Triaz,AZ Delta,Campus Rumbeke,50.91833555634135,3.1681991480801126
Triaz,Sint Andries Tielt,,51.002262406479076,3.321831359547582
Triaz,Jan Yperman,Campus Poperinge,50.85718129655924,2.746844197800504
Triaz,Jan Yperman,Campus Ieper,50.865087713269034,2.8980431326407086
Triaz,Jan Yperman,Campus Werik,50.77972023785079,3.044431253621108
KOM,AZ Sint-Jan,Campus Sint-Jan,51.22048138556599,3.1932514733325315
KOM,AZ Sint-Jan,Campus SFX,51.21314827103291,3.2265371708228834
KOM,AZ Sint-Jan,Campus Henri Serruys,51.2225015492271,2.9139914364430113
KOM,AZ Sint-Lucas Brugge,,51.185204674667595,3.2486864430987175
KOM,AZ Alma,,51.190944812660284,3.533498628493232
?,KEI,,51.14015872009584,2.697384240137231
KOM,BZIO,,51.21360137390991,2.874235016848453
MARE,AZ Zeno,Campus Knokke-Heist,51.32770894903687,3.292051918699804
MARE,AZ Zeno,Campus Blankenberge,51.30806691873857,3.125307018699245
MARE,AZ West,,51.062370163854524,2.669105426641518
MARE,AZ Damiaan,,51.21932558412828,2.93466180821877
Briant,CAD Heist o/d berg,,51.08593913072667,4.729516298356426
Briant,CAD Mechelen,,51.03637954540911,4.476977603334122
Helix,CAD Bornem,,51.100463852071364,4.233217470805907
Helix,CAD Edegem,,51.15784622620334,4.411171963418237
ZAS,CAD Antwerpen Linkerover,,51.23297752779444,4.378159678198657
E17,CAD Gentbrugge,,51.04232946537525,3.756428311286395
ZNG,CAD Aalter,,51.08229189779973,3.450647716829362
ZNG,CAD Zelzate,,51.19562780036061,3.823381351772513
ZNK,Gastenhuys,,51.39707081953386,4.7567227671192205
E17,CAD Oudenaarde,,50.84267570080511,3.6029406057391364
?,Pshychiatrisch ziekenhuis Bethanie,Elim - Kapellen,51.30331715606376,4.456658236434077
?,Psychiatrisch ziekenhuis Bethanie,Zoersel,51.27269368570561,4.637795836433239
?,Pyschiatrisch centrum Sint-Amandus,,51.115753189692256,3.317680482452982
?,Zorggroep Sint-Kamillus,Krijkelberg,50.852622032514915,4.752569568952005
?,Medisch centrum St.-Jozef,,50.88988280167159,5.525383426623658
?,Zorggroep Multiversum,PZ Alexianen,51.16278738659583,4.501280001490206
?,Zorggroep Multiversum,PZ Amedeus,51.185310023161925,4.450306689281241
?,Pshycotherapeutisch centrum Rustenburg,,51.2228688541554,3.198933580608536
?,Psychiatrisch ziekenhuis OLV Brugge,,51.19769712425679,3.21119389438331
?,Psychiatrisch ziekenhuis Sint-Annendael,,50.98805392298775,5.060127503332821
?,UPC Duffel,,51.09179627287463,4.497961895946394
?,Psychiatrisch ziekenhuis Sint-Jan,,51.18269973217268,3.5755648131374316
?,Psychiatrisch centrum Gent-Sleidinge,Gent,51.06243472145908,3.7241250149815337
?,Psychiatrisch centrum Gent-Sleidinge,Sleidinge,51.12505784989873,3.6681350916898188
?,Openbaar psychiatrisch zorgcentrum Geel,,51.15264299461058,4.983398540124662
?,Kinderspychiatrisch centrum ,,50.95702450273549,5.518231714978721
?,Psychiatrisch centrum Dr. Guislain,Sint-Alfons,51.034058252812116,3.7323108345795784
?,Psychiatrisch centrum Dr. Guislain,Dr. Guislain,51.06897136533073,3.704339295945774
