CD_REFNIS,TX_DESCR_NL,MS_POPULATION
11001,Aartselaar,14752
11002,Antwerpen,538910
11004,Boechout,13806
11005,Boom,19062
11007,Borsbeek,11309
11008,Brasschaat,38575
11009,Brecht,30387
11013,Edegem,22761
11016,Essen,19629
11018,Hemiksem,12105
11021,Hove (Antwerpen),8444
11022,Kalmthout,19422
11023,Kapellen (Antwerpen),27743
11024,Kontich,21624
11025,Lint,8548
11029,Mortsel,26391
11030,Niel,10799
11035,Ranst,19609
11037,Rumst,15417
11038,Schelle,8662
11039,Schilde,20293
11040,Schoten,34360
11044,Stabroek,18837
11050,Wijnegem,10432
11052,Wommelgem,13230
11053,Wuustwezel,21644
11054,Zandhoven,13352
11055,Zoersel,22427
11056,Zwijndrecht,19547
11057,Malle,16007
12002,Berlaar,11949
12005,Bonheiden,15458
12007,Bornem,21982
12009,Duffel,17982
12014,Heist-op-den-Berg,44226
12021,Lier,37909
12025,Mechelen,88614
12026,Nijlen,23409
12029,Putte,18631
12035,Sint-Katelijne-Waver,21595
12040,Willebroek,27773
12041,Puurs-Sint-Amands,26772
13001,Arendonk,13344
13002,Baarle-Hertog,3012
13003,Balen,23308
13004,Beerse,18416
13006,Dessel,9805
13008,Geel,41828
13010,Grobbendonk,11519
13011,Herentals,28575
13012,Herenthout,9417
13013,Herselt,14805
13014,Hoogstraten,22245
13016,Hulshout,10564
13017,Kasterlee,19478
13019,Lille,16871
13021,Meerhout,10348
13023,Merksplas,8799
13025,Mol,38159
13029,Olen,12689
13031,Oud-Turnhout,14734
13035,Ravels,15338
13036,Retie,11841
13037,Rijkevorsel,12531
13040,Turnhout,46923
13044,Vorselaar,8044
13046,Vosselaar,11802
13049,Westerlo,25466
13053,Laakdal,16707
21001,Anderlecht,125065
21002,Oudergem,35346
21003,Sint-Agatha-Berchem,25396
21004,Brussel,194291
21005,Etterbeek,49558
21006,Evere,44255
21007,Vorst (Brussel-Hoofdstad),57724
21008,Ganshoren,25548
21009,Elsene,88521
21010,Jette,53704
21011,Koekelberg,22563
21012,Sint-Jans-Molenbeek,98270
21013,Sint-Gillis,49323
21014,Sint-Joost-ten-Node,27068
21015,Schaarbeek,130775
21016,Ukkel,86101
21017,Watermaal-Bosvoorde,25392
21018,Sint-Lambrechts-Woluwe,59778
21019,Sint-Pieters-Woluwe,42497
23002,Asse,35191
23003,Beersel,26474
23009,Bever,2265
23016,Dilbeek,44650
23023,Galmaarden,8912
23024,Gooik,9428
23025,Grimbergen,39368
23027,Halle (Halle-Vilvoorde),42047
23032,Herne,6763
23033,Hoeilaart,11537
23038,Kampenhout,12445
23039,Kapelle-op-den-Bos,9659
23044,Liedekerke,13877
23045,Londerzeel,19288
23047,Machelen (Halle-Vilvoorde),16486
23050,Meise,20239
23052,Merchtem,17740
23060,Opwijk,14890
23062,Overijse,25978
23064,Pepingen,4567
23077,Sint-Pieters-Leeuw,36052
23081,Steenokkerzeel,12614
23086,Ternat,16488
23088,Vilvoorde,46993
23094,Zaventem,36408
23096,Zemst,23357
23097,Roosdaal,11866
23098,Drogenbos,5851
23099,Kraainem,14051
23100,Linkebeek,4640
23101,Sint-Genesius-Rode,18739
23102,Wemmel,17743
23103,Wezembeek-Oppem,14608
23104,Lennik,9431
23105,Affligem,13556
24001,Aarschot,30854
24007,Begijnendijk,10487
24008,Bekkevoort,6672
24009,Bertem,10276
24011,Bierbeek,10469
24014,Boortmeerbeek,13263
24016,Boutersem,8527
24020,Diest,24677
24028,Geetbets,6263
24033,Haacht,15425
24038,Herent,22723
24041,Hoegaarden,6797
24043,Holsbeek,10158
24045,Huldenberg,10080
24048,Keerbergen,13196
24054,Kortenaken,7970
24055,Kortenberg,20920
24059,Landen,16284
24062,Leuven,103009
24066,Lubbeek,14911
24086,Oud-Heverlee,11545
24094,Rotselaar,17499
24104,Tervuren,23101
24107,Tienen,36282
24109,Tremelo,15338
24130,Zoutleeuw,8668
24133,Linter,7317
24134,Scherpenheuvel-Zichem,23705
24135,Tielt-Winge,11440
24137,Glabbeek,5426
25005,Bevekom,7232
25014,Eigenbrakel,40469
25015,Kasteelbrakel,10671
25018,Chaumont-Gistoux,11813
25023,Court-Saint-Etienne,10750
25031,Genepiën,15915
25037,Graven,14067
25043,Incourt,5614
25044,Itter,7039
25048,Geldenaken,14789
25050,Terhulpen,7564
25068,Mont-Saint-Guibert,8361
25072,Nijvel,29018
25084,Perwijs (Nijvel),9639
25091,Rixensart,23115
25105,Tubeke,28057
25107,Villers-la-Ville,11118
25110,Waterloo,30477
25112,Waver,35444
25117,Chastre,7742
25118,Hélécine,3789
25119,Lasne,14313
25120,Orp-Jauche,9097
25121,Ottignies-Louvain-la-Neuve,31526
25122,Ramillies,6667
25123,Rebecq,11081
25124,Walhain,7567
31003,Beernem,16131
31004,Blankenberge,20511
31005,Brugge,119541
31006,Damme,11146
31012,Jabbeke,14539
31022,Oostkamp,24200
31033,Torhout,20782
31040,Zedelgem,23391
31042,Zuienkerke,2751
31043,Knokke-Heist,32645
32003,Diksmuide,17174
32006,Houthulst,10332
32010,Koekelare,8870
32011,Kortemark,12873
32030,Lo-Reninge,3237
33011,Ieper,35387
33016,Mesen,1074
33021,Poperinge,19947
33029,Wervik,19190
33037,Zonnebeke,12658
33039,Heuvelland,7958
33040,Langemark-Poelkapelle,8015
33041,Vleteren,3611
34002,Anzegem,15222
34003,Avelgem,10319
34009,Deerlijk,12561
34013,Harelbeke,29574
34022,Kortrijk,78944
34023,Kuurne,14033
34025,Lendelede,5863
34027,Menen,34322
34040,Waregem,39488
34041,Wevelgem,31795
34042,Zwevegem,25558
34043,Spiere-Helkijn,2056
35002,Bredene,18081
35005,Gistel,12265
35006,Ichtegem,14355
35011,Middelkerke,19755
35013,Oostende,72175
35014,Oudenburg,9911
35029,De Haan,12782
36006,Hooglede,10142
36007,Ingelmunster,11454
36008,Izegem,29013
36010,Ledegem,9770
36011,Lichtervelde,9166
36012,Moorslede,11451
36015,Roeselare,65468
36019,Staden,11639
37002,Dentergem,8632
37007,Meulebeke,11100
37010,Oostrozebeke,8021
37011,Pittem,6834
37012,Ruiselede,5504
37015,Tielt (Tielt),20701
37017,Wielsbeke,10013
37018,Wingene,15039
37020,Ardooie,9338
38002,Alveringem,5054
38008,De Panne,11089
38014,Koksijde,21664
38016,Nieuwpoort,11493
38025,Veurne,12419
41002,Aalst (Aalst),90068
41011,Denderleeuw,20973
41018,Geraardsbergen,34724
41024,Haaltert,19281
41027,Herzele,18715
41034,Lede,19160
41048,Ninove,40093
41063,Sint-Lievens-Houtem,10658
41081,Zottegem,27677
